ID_geo,Entidad_federativa,Tipo,Año,poblacion_en_situacion_de_pobreza,poblacion_en_situacion_de_pobreza_moderada,poblacion_en_situacion_de_pobreza_extrema,poblacion_vulnerable_por_carencias_sociales,poblacion_vulnerable_por_ingresos,poblacion_no_pobre_y_no_vulnerable,poblacion_con_al_menos_una_carencia_social,poblacion_con_al_menos_tres_carencias_sociales,rezago_educativo,carencia_por_acceso_a_los_servicios_de_salud,carencia_por_acceso_a_la_seguridad_social,carencia_por_calidad_y_espacios_de_la_vivienda,carencia_por_acceso_a_los_servicios_basicos_en_la_vivienda,carencia_por_acceso_a_la_alimentacion,poblacion_con_ingreso_inferior_a_la_linea_de_pobreza_extrema_por_ingresos,poblacion_con_ingreso_inferior_a_la_linea_de_pobreza_por_ingresos,poblacion_total,pib_mn_2013,pib_mn_corr
MX-QUE,Querétaro,Porcentaje,2008,35.2,29.8,5.5,35,5.1,24.7,70.2,21,20.4,26.8,57.7,11.9,14.2,17.9,11,40.3,1754.61,278348.405,228284.803
MX-QUE,Querétaro,Porcentaje,2010,41.4,34,7.4,31.7,5,21.8,73.2,20.2,19.5,22.1,60.6,9.9,17.6,21.3,16,46.4,1842.36,287403.169,256123.884
MX-QUE,Querétaro,Porcentaje,2012,36.9,31.8,5.2,32.6,6.4,24,69.6,16.9,17.5,15.5,56.7,10.9,14.9,19.8,14.7,43.3,1930.89,318294.372,311704.961
MX-QUE,Querétaro,Porcentaje,2014,34.2,30.3,3.9,33.1,7.8,24.9,67.3,14.2,16.4,15.8,54.3,8.9,14.8,15.8,12.3,42,2023.82,342666.454,348716.588
MX-QUE,Querétaro,Porcentaje,2016,31.1,28.2,2.9,32,8.9,27.9,63.1,11.5,14.2,13.2,48.4,9.7,12.7,13.4,10,40.1,2113.73,377947.864,432120.25
MX-QUE,Querétaro,Porcentaje,2018,27.6,25.6,2,38,6.3,28.1,65.6,11.1,14.8,11.8,52.7,8.5,12.7,13.9,7.7,33.9,2197.94,406635.649,517500.974
MX-ROO,Quintana Roo,Porcentaje,2008,33.7,26,7.7,38.4,5,23,72.1,26.5,18.7,34.6,58.4,25.8,12.9,14.8,13.1,38.6,1250.39,203018.581,175082.242
MX-ROO,Quintana Roo,Porcentaje,2010,34.6,28.2,6.4,36.1,4.7,24.6,70.7,23.3,18.3,24.3,53.8,21.7,15.2,21.8,12.1,39.4,1332.93,195148.828,180777.622
MX-ROO,Quintana Roo,Porcentaje,2012,38.8,30.4,8.4,30.4,6.2,24.6,69.2,21.8,17.6,21.2,54.9,19.7,14.5,18.6,16.6,45,1406.41,215709.871,213551.944
MX-ROO,Quintana Roo,Porcentaje,2014,35.9,28.9,7,34.2,6.3,23.7,70,20.8,15.1,18.5,51.5,18.4,18.1,23.2,14.3,42.1,1485.51,233252.369,246516.89
MX-ROO,Quintana Roo,Porcentaje,2016,28.8,24.6,4.2,38.4,4.3,28.4,67.3,18.3,15,17.6,49,17,19.5,16.4,9.3,33.2,1564.92,261497.598,302288.848
MX-ROO,Quintana Roo,Porcentaje,2018,27.6,24.1,3.5,41.2,4.1,27.1,68.8,20.9,15,15.6,51.7,21,21.8,17.9,6.9,31.7,1645.24,286095.168,358943.977
MX-SLP,San Luis Potosí,Porcentaje,2008,50.9,35.5,15.4,25.4,6.4,17.3,76.3,35.9,23,34.4,64.4,22.6,29.1,23.4,22.2,57.3,2561.31,270024.005,225361.594
MX-SLP,San Luis Potosí,Porcentaje,2010,52.4,37.1,15.3,20.9,7.2,19.5,73.3,30.6,22.2,19,57.3,16.3,32.3,30.1,26,59.6,2621.11,269397.22,244786.34
MX-SLP,San Luis Potosí,Porcentaje,2012,50.5,37.7,12.8,24.7,6.6,18.3,75.2,26.9,21.2,14,61.6,13.5,32.5,24.7,23.3,57.1,2680.71,297293.962,297155.564
MX-SLP,San Luis Potosí,Porcentaje,2014,49.1,39.6,9.5,24.3,7.6,19,73.4,20.5,18.4,10.7,59.1,11,28.1,21.6,23.2,56.7,2733.86,316716.343,330242.339
MX-SLP,San Luis Potosí,Porcentaje,2016,45.5,37.8,7.7,24.6,8,21.9,70.2,17.7,17.5,9.1,55.6,9.7,24.7,20.1,20.4,53.5,2781.46,342065.043,400396.415
MX-SLP,San Luis Potosí,Porcentaje,2018,43.4,36.1,7.3,27.7,7.4,21.5,71.1,16,16.9,9,55.5,8.6,26.4,17,19,50.8,2825.16,370089.916,501660.08
MX-SIN,Sinaloa,Porcentaje,2008,32.4,27.8,4.6,40.9,3.5,23.2,73.3,25.3,21.2,29.2,58.8,14.2,18.6,22.7,8.1,35.9,2745.89,316380.798,260205.206
MX-SIN,Sinaloa,Porcentaje,2010,36.7,31.2,5.5,33.3,7.7,22.3,70,19,19.3,21.4,53.6,8.5,15.7,24.5,14.2,44.4,2806.7,312655.113,277104.769
MX-SIN,Sinaloa,Porcentaje,2012,36.3,31.8,4.5,33.5,6.4,23.8,69.8,18.5,18.4,16.6,52.7,10.1,16.1,25.9,13.4,42.6,2893.42,330191.387,325175.665
MX-SIN,Sinaloa,Porcentaje,2014,39.4,34.1,5.3,30.4,6.9,23.4,69.7,19.7,19.1,15.2,49.3,10.8,18,29.6,13.5,46.3,2976.48,340077.857,344506.492
MX-SIN,Sinaloa,Porcentaje,2016,30.8,27.9,2.9,32.8,7.4,28.9,63.7,14.3,15.8,12.2,44.7,11.3,12.8,22.7,8.7,38.2,3049.38,376438.398,423219.311
MX-SIN,Sinaloa,Porcentaje,2018,30.9,28.2,2.7,34.5,6.5,28.1,65.4,15,16.5,13.2,45.4,8.5,14.9,24.5,7.5,37.4,3104.61,390504.775,482808.424
MX-SON,Sonora,Porcentaje,2008,27.1,22.8,4.4,38.7,4.3,30,65.8,18.8,16.1,22.6,49,13.4,13,21.2,7.8,31.4,2590.98,436717.189,360308.272
MX-SON,Sonora,Porcentaje,2010,33.1,28,5.1,31.6,6.8,28.4,64.8,18.9,14,22.7,46.2,11.7,15.3,25.8,10.9,40,2687.48,431501.919,385750.835
MX-SON,Sonora,Porcentaje,2012,29.1,24.2,5,36.6,4.7,29.6,65.7,16.2,13.6,17.1,46.8,10.2,12.6,26,10.2,33.8,2769.54,495926.031,488557.575
MX-SON,Sonora,Porcentaje,2014,29.4,26.1,3.3,32.1,7.3,31.3,61.4,12.9,12.1,14.4,41.8,10.1,8.9,24.9,9.7,36.6,2847.82,522896.949,535720.341
MX-SON,Sonora,Porcentaje,2016,27.9,25.3,2.5,30.9,8.2,33,58.8,11.7,12.3,14.7,41.2,9.5,9.7,21,7.5,36.1,2922.67,578945.379,663322.554
MX-SON,Sonora,Porcentaje,2018,28.2,25.6,2.6,30.1,8.7,33,58.3,12.1,11.4,12.6,41,8.6,10.7,21.5,8.4,36.9,3000.13,581395.25,762759.786
MX-TAB,Tabasco,Porcentaje,2008,53.8,38,15.8,33.8,2.8,9.6,87.6,37.4,21.5,25.6,77.6,17.4,36.7,34.5,24.9,56.6,2167.69,475202.827,414905.271
MX-TAB,Tabasco,Porcentaje,2010,57.1,43.5,13.6,27.2,4.1,11.5,84.3,39,19.8,23.9,73.3,21.7,38.9,33.3,22.4,61.2,2255.25,525011.917,449415.171
MX-TAB,Tabasco,Porcentaje,2012,49.7,35.4,14.3,34,3,13.4,83.6,37.5,19.1,18.2,71.2,19.4,44.7,33.4,23.6,52.7,2325.37,564003.811,592703.438
MX-TAB,Tabasco,Porcentaje,2014,49.6,38.5,11,37.5,2.3,10.6,87,38.5,17,16.9,72.7,13.4,43.9,45,17.9,51.9,2393.66,564794.238,575966.401
MX-TAB,Tabasco,Porcentaje,2016,50.9,39.1,11.8,35.4,2.6,11.1,86.3,36.3,16.5,13.4,67,12.3,48.8,45.3,19.6,53.4,2457.37,534685.495,454246.599
MX-TAB,Tabasco,Porcentaje,2018,53.6,41.4,12.3,33.4,2.5,10.4,87,37.2,16.5,12.6,69.1,12.3,46,46.8,20.8,56.2,2515.93,468708.681,498585.882
MX-TAM,Tamaulipas,Porcentaje,2008,33.8,29,4.8,33.1,7.8,25.2,66.9,17.1,17.3,23.9,55.2,12.3,13,11.8,12.4,41.7,3221.33,483350.662,429771.347
MX-TAM,Tamaulipas,Porcentaje,2010,39,33.5,5.5,26.9,9.4,24.8,65.9,15.4,14.4,20.9,51.1,9.6,16.5,13.6,14.5,48.3,3310.31,448215.116,406896.616
MX-TAM,Tamaulipas,Porcentaje,2012,38.4,33.7,4.7,26.8,8.8,26,65.1,14.3,15.5,15.8,50.6,10.5,10.6,19.2,14.9,47.2,3390.26,466371.322,462474.737
MX-TAM,Tamaulipas,Porcentaje,2014,37.9,33.6,4.3,24.4,11.2,26.5,62.3,12.7,16,15,45.5,8.2,11.5,19.5,16.1,49.1,3461.85,477891.309,498626.182
MX-TAM,Tamaulipas,Porcentaje,2016,32.2,29.3,2.9,28.6,10.1,29.2,60.7,10.1,14.3,12.8,42.3,6.4,9.7,19.2,12.1,42.3,3527.1,500458.048,578652.506
MX-TAM,Tamaulipas,Porcentaje,2018,35.1,31.8,3.3,25.7,13.2,26,60.8,9.8,14.4,12,43.4,7.7,8.9,16.7,15.1,48.3,3590.49,507780.727,669164.565
MX-TLA,Tlaxcala,Porcentaje,2008,59.6,50.1,9.5,23.6,5.6,11.3,83.2,29.1,17.7,44.6,74.9,13.4,12.4,24.8,21.7,65.2,1148.11,83246.79,67699.514
MX-TLA,Tlaxcala,Porcentaje,2010,60.3,50.4,9.9,19.3,7.4,13,79.7,23.3,15.6,33.4,70.8,11.7,13.7,24.1,26.8,67.7,1185.87,88809.886,78454.866
MX-TLA,Tlaxcala,Porcentaje,2012,57.9,48.8,9.1,23.9,6,12.2,81.8,22.9,15.8,24.2,70.8,13,16,28.4,24.4,63.9,1229.57,89918.601,88109.739
MX-TLA,Tlaxcala,Porcentaje,2014,58.9,52.4,6.5,22.6,7.7,10.8,81.5,15.9,14.9,17.5,71.5,9.4,12.1,24,27.1,66.6,1273.77,90362.518,93828.437
MX-TLA,Tlaxcala,Porcentaje,2016,53.9,48.2,5.7,24.4,8.2,13.4,78.4,13.5,13,12.5,66.2,10.2,10.7,22.2,19.6,62.2,1314.42,96859.667,109834.483
MX-TLA,Tlaxcala,Porcentaje,2018,48.4,45.3,3.1,28.6,7.6,15.4,77,13.5,13.1,13.7,67.8,8.7,10.1,20.2,14.9,56,1347.93,99024.914,126446.673
MX-VER,Veracruz,Porcentaje,2008,51.2,34.3,16.8,32.7,3.1,12.9,83.9,46.7,28.4,42.9,72.1,30.5,42.7,25.6,20.8,54.3,7561.55,704314.03,580223.999
MX-VER,Veracruz,Porcentaje,2010,57.6,38.8,18.8,23.6,4.5,14.3,81.2,41.9,25.8,34.9,69.2,24,39.3,26.1,27.8,62.1,7747.68,718148.55,639238.481
MX-VER,Veracruz,Porcentaje,2012,52.6,38.4,14.3,30.6,4,12.8,83.2,36.9,25.8,25.7,68.5,19.7,39.2,28.2,24,56.6,7957.24,779730.434,777750.647
MX-VER,Veracruz,Porcentaje,2014,58,40.9,17.2,24.8,5,12.2,82.8,37.3,27.8,21.7,68.5,16.8,40,30,29.2,63,8150.88,780785.356,810516.492
MX-VER,Veracruz,Porcentaje,2016,62.2,45.8,16.4,19.9,5,12.9,82.1,33.4,25.7,19.4,68,17.5,39.2,22.2,30.6,67.1,8316.6,784930.108,862619.629
MX-VER,Veracruz,Porcentaje,2018,61.8,44.1,17.7,21.1,6.1,10.9,82.9,33.3,25,16.7,67.5,16.9,42.1,27,32.2,67.9,8434.16,794376.31,983738.137
MX-YUC,Yucatán,Porcentaje,2008,47,38.2,8.9,29.5,4.7,18.7,76.6,35.2,26.2,26.9,61,24.3,41.9,16.2,13,51.8,1929.92,193158.623,159011.746
MX-YUC,Yucatán,Porcentaje,2010,48.3,36.6,11.7,26,6.4,19.2,74.3,31.9,24.7,20.7,56.9,19.5,37.4,21.4,17.9,54.8,1979.7,196149.981,175773.5
MX-YUC,Yucatán,Porcentaje,2012,48.9,39,9.8,27,6.3,17.9,75.9,32.7,23.4,15.7,58.8,20.6,42.7,25.1,16.6,55.1,2041.58,214700.599,209189.067
MX-YUC,Yucatán,Porcentaje,2014,45.9,35.2,10.7,27.7,7,19.5,73.5,27.4,21.8,14.5,54.4,17.5,40.4,18.4,20.7,52.8,2100.82,223858.768,232467.744
MX-YUC,Yucatán,Porcentaje,2016,41.9,35.7,6.1,32.5,5.7,19.9,74.3,24.3,20.6,14.4,54.2,15.8,35.5,19.3,11.8,47.6,2155.88,242505.306,275534.828
MX-YUC,Yucatán,Porcentaje,2018,40.8,34.1,6.7,33.3,5.5,20.4,74.1,25.1,19.7,14.1,55.3,13.6,38.4,19.4,12.5,46.3,2208.24,260417.828,329373.441
MX-ZAC,Zacatecas,Porcentaje,2008,50.1,40.6,9.5,27.8,6.1,16,77.9,25,24.5,32.1,67.8,9.6,14.6,19.7,22.3,56.2,1465.79,126383.577,102382.135
MX-ZAC,Zacatecas,Porcentaje,2010,60.2,49.4,10.8,18.4,6.9,14.5,78.6,23.5,22.9,25.6,66.6,5.9,17.8,24.9,29.7,67.1,1508.11,144730.56,130183.528
MX-ZAC,Zacatecas,Porcentaje,2012,54.2,46.7,7.5,20.4,6.4,19,74.6,15.2,21.1,16.7,62.9,5.1,10.9,22.3,30.3,60.6,1548.01,148728.64,157643.57
MX-ZAC,Zacatecas,Porcentaje,2014,52.3,46.6,5.7,24.4,7.3,16,76.7,13.3,21.6,14.9,63.4,4.9,13.3,16.8,26.7,59.7,1584.74,156808.457,156773.426
MX-ZAC,Zacatecas,Porcentaje,2016,49,45.5,3.5,24.4,8.9,17.7,73.4,10.3,17.7,11.5,60.4,5.1,10.7,15.1,21,57.9,1616.68,157998.056,187277.522
MX-ZAC,Zacatecas,Porcentaje,2018,46.8,43.4,3.4,28.7,7.7,16.8,75.5,10.5,17.8,11.7,62.6,5.4,10.4,16.6,17.2,54.5,1642.39,156725.476,205854.33
MX-AGU,Aguascalientes,Carencias promedio,2008,2,1.8,3.5,1.8,0,0,1.9,3.4,2.4,2.5,2,3.1,3.1,2.5,2,1.6,1153.47,150949.983,126346.473
MX-AGU,Aguascalientes,Carencias promedio,2010,1.9,1.8,3.4,1.7,0,0,1.8,3.3,2.3,2.4,2,2.8,2.9,2.3,1.9,1.6,1198.51,152205.212,138350.48
MX-AGU,Aguascalientes,Carencias promedio,2012,1.8,1.7,3.4,1.5,0,0,1.7,3.3,2.2,2.5,1.9,2.7,2.9,2.2,1.8,1.5,1250.96,167705.967,166978.119
MX-AGU,Aguascalientes,Carencias promedio,2014,1.7,1.6,3.4,1.5,0,0,1.6,3.3,2.1,2.4,1.8,2.7,2.8,2,1.6,1.4,1305.27,190482.862,195180.365
MX-AGU,Aguascalientes,Carencias promedio,2016,1.7,1.6,3.3,1.5,0,0,1.6,3.2,2.1,2.4,1.8,2.4,2.8,2,1.7,1.2,1355.32,211672.469,248849.972
MX-AGU,Aguascalientes,Carencias promedio,2018,1.6,1.5,3.2,1.5,0,0,1.6,3.2,1.9,2.3,1.7,2.4,2.7,1.9,1.4,1.2,1395.79,224807.469,298147.899
MX-BCN,Baja California,Carencias promedio,2008,2.1,2,3.4,1.9,0,0,2,3.3,2.5,2.5,2.1,2.9,2.9,2.7,2.3,1.8,3064.93,457556.565,395576.586
MX-BCN,Baja California,Carencias promedio,2010,2.2,2,3.4,1.8,0,0,2,3.4,2.5,2.5,2.1,2.8,3,2.6,2.1,1.8,3183.65,428162.546,393693.175
MX-BCN,Baja California,Carencias promedio,2012,1.9,1.8,3.3,1.7,0,0,1.8,3.3,2.4,2.4,1.9,2.7,3.1,2.4,1.8,1.5,3258.39,456024.472,456744.955
MX-BCN,Baja California,Carencias promedio,2014,2.1,1.9,3.8,1.8,0,0,1.9,3.6,2.6,2.6,2.1,3,3.1,2.8,2,1.7,3326.22,478121.939,501905.007
MX-BCN,Baja California,Carencias promedio,2016,1.8,1.8,3.2,1.6,0,0,1.7,3.3,2.2,2.4,1.9,2.4,2.7,2.1,1.7,1.4,3403.34,535552.651,647659.731
MX-BCN,Baja California,Carencias promedio,2018,1.9,1.7,3.5,1.6,0,0,1.7,3.3,2.2,2.4,1.9,2.4,2.6,2.3,1.9,1.4,3521.24,565895.378,762863.786
MX-BCS,Baja California Sur,Carencias promedio,2008,2.2,2.1,3.6,1.9,0,0,2,3.5,2.6,2.7,2.2,2.9,3.1,2.9,2.1,1.8,589.29,108975.356,92207.468
MX-BCS,Baja California Sur,Carencias promedio,2010,2.3,2,3.8,1.8,0,0,2.1,3.7,2.7,2.9,2.3,3.3,3.6,2.6,2.4,2,636.19,110656.4,100789.574
MX-BCS,Baja California Sur,Carencias promedio,2012,2.1,1.9,3.5,1.7,0,0,1.9,3.6,2.6,2.8,2.1,3.1,3.5,2.5,1.9,1.7,668.64,117345.833,114898.751
MX-BCS,Baja California Sur,Carencias promedio,2014,2.1,1.9,3.6,1.9,0,0,2,3.6,2.7,2.8,2.2,3,3.4,2.6,2.1,1.8,702.92,116027.018,119613.084
MX-BCS,Baja California Sur,Carencias promedio,2016,2,1.9,3.6,1.8,0,0,1.9,3.4,2.4,2.6,2,2.7,2.8,2.4,1.8,1.5,737,133948.675,155809.224
MX-BCS,Baja California Sur,Carencias promedio,2018,2,1.9,3.6,1.7,0,0,1.8,3.4,2.3,2.6,2,2.6,2.6,2.2,2,1.6,771.29,173047.36,232124.237
MX-CAM,Campeche,Carencias promedio,2008,2.8,2.4,3.8,2.2,0,0,2.5,3.7,3.2,3.3,2.8,3.5,3.3,3.4,3,2.5,809.04,867231.044,740140.02
MX-CAM,Campeche,Carencias promedio,2010,2.8,2.4,3.8,2.1,0,0,2.6,3.7,3.2,3.3,2.8,3.6,3.3,3.3,3,2.6,833.94,753968.591,620535.423
MX-CAM,Campeche,Carencias promedio,2012,2.4,2.1,3.4,1.9,0,0,2.2,3.4,2.9,2.8,2.3,3.2,2.9,3,2.5,2.1,867.06,714787.065,779041.23
MX-CAM,Campeche,Carencias promedio,2014,2.6,2.2,3.6,2,0,0,2.3,3.5,3,3.1,2.5,3.2,2.9,3,2.7,2.3,900.59,685981.27,696682.543
MX-CAM,Campeche,Carencias promedio,2016,2.3,2.1,3.5,1.8,0,0,2.1,3.5,2.8,2.9,2.3,3.1,2.9,2.7,2.4,2.1,933.44,600612.272,412424.333
MX-CAM,Campeche,Carencias promedio,2018,2.4,2.1,3.5,2,0,0,2.2,3.5,3,3,2.4,3.2,2.9,2.8,2.6,2.2,967.32,529584.304,550454.12
MX-COA,Coahuila,Carencias promedio,2008,1.9,1.8,3.4,1.6,0,0,1.8,3.3,2.1,2.5,2.1,2.9,2.6,2.1,1.8,1.4,2693.77,498326.775,401229.645
MX-COA,Coahuila,Carencias promedio,2010,1.9,1.7,3.4,1.7,0,0,1.8,3.3,2.1,2.5,2.1,2.7,2.7,2.1,1.6,1.3,2786.12,489951.776,433984.977
MX-COA,Coahuila,Carencias promedio,2012,2,1.8,3.4,1.6,0,0,1.8,3.4,2.3,2.6,2.1,2.8,2.8,2.1,1.8,1.3,2874.75,549551.802,543684.552
MX-COA,Coahuila,Carencias promedio,2014,1.9,1.7,3.5,1.5,0,0,1.7,3.4,2.1,2.6,2.1,2.9,2.7,2,1.9,1.4,2960.15,559217.153,579802.09
MX-COA,Coahuila,Carencias promedio,2016,1.8,1.7,3.5,1.5,0,0,1.7,3.3,2,2.4,1.9,2.6,2.4,1.9,1.6,1.2,3043.06,572243.615,684776.144
MX-COA,Coahuila,Carencias promedio,2018,1.8,1.7,3.3,1.5,0,0,1.6,3.3,2,2.5,1.9,2.4,2.5,1.9,1.7,1.2,3132.02,609051.269,826455.799
MX-COL,Colima,Carencias promedio,2008,2,1.9,3.5,1.7,0,0,1.8,3.4,2.3,2.5,2,2.9,3.2,2.6,1.8,1.8,624.11,78953.717,65592.169
MX-COL,Colima,Carencias promedio,2010,2.2,2,3.7,1.7,0,0,1.9,3.5,2.6,2.7,2.1,3.1,3.4,2.7,2.1,1.9,655.21,81992.178,72901.369
MX-COL,Colima,Carencias promedio,2012,2.1,1.9,3.7,1.7,0,0,1.9,3.5,2.5,2.7,2.1,3.1,3.3,2.5,2.1,1.8,681.89,90540.289,87516.444
MX-COL,Colima,Carencias promedio,2014,2.1,1.9,3.6,1.7,0,0,1.9,3.4,2.5,2.6,2.1,3,3.2,2.5,2.1,1.8,708.74,93703.258,96603.958
MX-COL,Colima,Carencias promedio,2016,2,1.8,3.5,1.6,0,0,1.8,3.4,2.3,2.6,2,2.8,2.9,2.4,2.1,1.6,734.66,98576.211,110204.725
MX-COL,Colima,Carencias promedio,2018,1.9,1.8,3.5,1.7,0,0,1.8,3.4,2.4,2.7,1.9,2.9,2.9,2.4,1.9,1.6,760.33,104474.901,132943.19
MX-CHP,Chiapas,Carencias promedio,2008,3.3,2.7,4,2.2,0,0,3.1,3.9,3.9,3.7,3.3,4.1,3.8,4.1,3.5,3.3,4666.82,258289.89,219146.599
MX-CHP,Chiapas,Carencias promedio,2010,3.2,2.4,3.9,2.2,0,0,3,3.8,3.7,3.8,3.2,4,3.5,3.9,3.4,3.1,4857.91,270989.331,240499.032
MX-CHP,Chiapas,Carencias promedio,2012,2.9,2.2,3.8,2,0,0,2.7,3.7,3.5,3.6,2.9,3.8,3.3,3.7,3.2,2.8,5038.79,284733.625,281695.954
MX-CHP,Chiapas,Carencias promedio,2014,2.8,2.1,3.7,2.1,0,0,2.7,3.7,3.5,3.6,2.8,3.8,3.2,3.6,3,2.7,5220.62,294029.165,300375.744
MX-CHP,Chiapas,Carencias promedio,2016,2.5,2,3.5,1.9,0,0,2.4,3.5,3.1,3.3,2.5,3.4,3,3.3,2.7,2.4,5393.94,287034.269,318560.217
MX-CHP,Chiapas,Carencias promedio,2018,2.7,2,3.7,1.9,0,0,2.6,3.6,3.3,3.4,2.6,3.7,3.1,3.5,2.8,2.6,5563.87,271621.449,332598.489
MX-CHH,Chihuahua,Carencias promedio,2008,2.6,2.1,4.2,1.8,0,0,2.2,3.8,2.9,2.9,2.3,4,3.9,3.4,3,2.1,3397.99,440792.887,369944.074
MX-CHH,Chihuahua,Carencias promedio,2010,2.1,1.8,3.7,1.5,0,0,1.9,3.6,2.4,2.8,2,3.3,3.4,2.6,2.2,1.6,3461.88,417796.42,382215.09
MX-CHH,Chihuahua,Carencias promedio,2012,1.9,1.7,3.5,1.5,0,0,1.7,3.4,2.2,2.5,1.8,2.8,3,2.3,1.7,1.4,3531.6,459166.22,463972.509
MX-CHH,Chihuahua,Carencias promedio,2014,2.1,1.7,4.1,1.5,0,0,1.8,3.7,2.5,2.8,2,3.3,3.4,2.4,2.1,1.5,3590.34,485693.517,510950.825
MX-CHH,Chihuahua,Carencias promedio,2016,1.9,1.6,3.8,1.5,0,0,1.7,3.5,2.3,2.6,1.9,2.8,3,2.2,1.9,1.4,3649.42,534205.546,656275.66
MX-CHH,Chihuahua,Carencias promedio,2018,1.9,1.7,3.5,1.5,0,0,1.7,3.5,2.2,2.5,1.9,2.8,3.1,2.2,1.8,1.3,3727.98,562599.228,759815.431
MX-CMX,Cuidad de México,Carencias promedio,2008,2.2,2.1,3.5,1.8,0,0,2,3.3,2.5,2.5,2.1,3.2,2.9,2.6,2.3,1.8,8942.67,2450391.202,2052359.403
MX-CMX,Cuidad de México,Carencias promedio,2010,2.1,2,3.5,1.8,0,0,1.9,3.3,2.4,2.4,2.1,2.9,2.9,2.6,2.2,1.8,8981.87,2446910.439,2229200.756
MX-CMX,Cuidad de México,Carencias promedio,2012,2,1.8,3.4,1.6,0,0,1.8,3.3,2.3,2.3,1.8,2.8,3.2,2.5,2.1,1.6,9049.1,2633934.642,2563863.36
MX-CMX,Cuidad de México,Carencias promedio,2014,1.8,1.7,3.2,1.6,0,0,1.7,3.2,2.1,2.3,1.8,2.4,2.7,2.2,1.8,1.4,9062.02,2748551.988,2798138.054
MX-CMX,Cuidad de México,Carencias promedio,2016,1.8,1.7,3.3,1.6,0,0,1.7,3.2,2.1,2.2,1.8,2.5,2.8,2.2,1.8,1.4,9053.99,2957233.594,3163657.853
MX-CMX,Cuidad de México,Carencias promedio,2018,1.8,1.7,3.2,1.6,0,0,1.7,3.2,2.1,2.3,1.8,2.5,2.6,2.1,1.7,1.4,9041.4,3128247.71,3609401.851
MX-DUR,Durango,Carencias promedio,2008,2.5,2.1,3.7,2,0,0,2.3,3.6,2.9,2.9,2.5,3.7,3.3,3.1,2.7,2.1,1611.82,165722.989,133623.021
MX-DUR,Durango,Carencias promedio,2010,2.3,1.9,3.6,1.8,0,0,2.1,3.4,2.8,2.8,2.3,3.3,2.9,2.8,2.4,1.9,1656.6,169268.084,146770.242
MX-DUR,Durango,Carencias promedio,2012,2,1.7,3.4,1.7,0,0,1.9,3.3,2.5,2.7,2,2.9,2.8,2.6,1.9,1.6,1708.44,182943.056,180059.762
MX-DUR,Durango,Carencias promedio,2014,1.9,1.7,3.4,1.6,0,0,1.8,3.3,2.3,2.6,2,2.9,2.6,2.3,1.9,1.5,1758.16,192968.629,199491.872
MX-DUR,Durango,Carencias promedio,2016,1.8,1.6,3.6,1.6,0,0,1.7,3.3,2.2,2.6,1.8,2.7,2.5,2.2,1.8,1.4,1801.96,200660.962,233458.628
